word,onset,offset
so,3356.1457,3427.8257
there's,3438.0657,3519.9857
some,3509.7457,3591.6657
places,3601.9057000000003,3740.1457
where,3770.8657,3822.0657
animals,3842.5457,3965.4257
almost,4026.8657000000003,4119.0257
never,4159.9857,4287.9857
go,4308.4657,4426.2257
places,4881.9057,5030.3857
that,5030.3857,5066.2257
are,5096.9457,5122.545700000001
designed,5122.545700000001,5414.3857
by,5475.825699999999,5593.5857
humans,5614.0657,5911.0257
for,5967.3457,6064.6257000000005
humans,6095.3457,6376.9457
this,6684.1457,6796.7857
act,6837.7456999999995,7001.5857
ends,7221.7457,7339.5057
up,7370.2257,7421.4257
in,7441.9057,7457.2657
a,7467.5057,7482.8657
place,7493.1057,7595.5057
like,7595.5057,7667.1857
that,7667.1857,7825.9057
but,8235.5057,8373.7457
it,8399.3457,8424.9457
starts,8455.6657,8583.6657
about,8593.9057,8670.7057
as,8670.7057,8711.6657
far,8732.145700000001,8803.825700000001
from,8834.545699999999,8895.985700000001
there,8906.225699999999,8972.7857
as,8972.7857,9018.8657
you,9049.5857,9085.4257
can,9085.4257,9146.8657
get,9146.8657,9279.985700000001
dana,9735.6657,9832.9457
chivvis,9832.9457,9986.545699999999
explains,9996.7857,10257.9057
our,10852.8128,10898.8928
story,10898.8928,11047.372800000001
begins,11047.372800000001,11216.3328
deep,11216.3328,11344.3328
in,11344.3328,11385.2928
the,11395.5328,11410.8928
rainforests,11431.3728,11794.8928
of,11805.1328,11856.3328
indonesia,11866.5728,12153.2928
on,12224.9728,12322.2528
an,12327.3728,12378.5728
island,12388.8128,12516.8128
called,12516.8128,12614.0928
sulawesi,12614.0928,12998.0928
a,13392.3328,13428.1728
few,13448.6528,13540.8128
years,13530.5728,13658.5728
ago,13668.8128,13848.0128
the,13935.0528,13970.8928
photographer,13970.8928,14232.0128
david,14232.0128,14365.1328
slater,14365.1328,14544.3328
traveled,14544.3328,14738.8928
there,14738.8928,14820.8128
from,14820.8128,14902.7328
his,14912.9728,14969.2928
home,14979.5328,15061.4528
in,15061.4528,15097.2928
england,15107.5328,15322.5728
to,15424.9728,15471.0528
photograph,15471.0528,15691.2128
a,15691.2128,15711.6928
troop,15711.6928,15814.0928
of,15814.0928,15865.2928
monkeys,15865.2928,16080.3328
i'd,16267.6736,16359.8336
gone,16359.8336,16431.5136
a,16431.5136,16446.8736
whole,16446.8736,16539.033600000002
day,16539.033600000002,16677.2736
just,16677.2736,16774.5536
following,16774.5536,16979.353600000002
them,16979.353600000002,17102.2336
mm,17233.2032,17299.7632
into,17289.369599999998,17386.6496
the,17386.6496,17417.369599999998
thick,17437.8496,17550.4896
of,17560.7296,17591.4496
the,17591.4496,17622.1696
forest,17622.1696,17939.6096
through,18164.889600000002,18246.8096
the,18246.8096,18282.6496
tangles,18282.6496,18610.329599999997
and,18630.8096,18692.2496
the,18692.2496,18753.689599999998
vines,18774.1696,19199.1296
and,19199.1296,19255.4496
the,19275.9296,19444.8896
muddy,19588.2496,19706.0096
undergrowth,19736.7296,20120.7296
and,20120.7296,20177.0496
the,20187.2896,20274.3296
cobwebs,20366.4896,20699.2896
and,20699.2896,20750.4896
the,20750.4896,20811.9296
poisonous,21067.9296,21390.4896
snakes,21380.2496,21692.5696
and,21692.5696,21784.7296
oh,21677.2096,21805.2096
man,21794.9696,21953.6896
you,22045.2864,22116.9664
name,22116.9664,22250.0864
it,22270.5664,22321.7664
i,22332.0064,22383.2064
had,22383.2064,22449.7664
to,22449.7664,22531.6864
i,22582.8864,22639.2064
had,22639.2064,22705.7664
to,22705.7664,22756.9664
go,22756.9664,22869.6064
through,22890.0864,23012.9664
it,23033.4464,23100.0064
uh,23489.1264,23612.0064
and,23612.0064,23688.8064
it,23719.5264,23750.2464
was,23740.0064,23791.2064
just,23791.2064,23883.3664
so,23883.3664,23960.1664
amazing,23960.1664,24205.9264
just,24226.4064,24333.9264
to,24333.9264,24374.8864
be,24374.8864,24543.8464
to,24584.8064,24636.0064
be,24646.2464,24835.6864
like,24886.8864,25040.4864
a,25040.4864,25055.8464
monkey,25066.0864,25240.1664
i,25250.4064,25327.2064
i,25337.4464,25419.3664
i,25429.6064,25511.5264
was,25521.7664,25613.9264
a,25634.4064,25654.8864
monkey,25665.1264,25905.7664
honestly,25916.0064,26182.2464
i,26576.4352,26668.5952
i,26668.5952,26740.2752
had,26750.5152,26817.0752
i,26822.1952,26878.5152
met,26888.7552,26970.6752
monkeys,26970.6752,27119.1552
before,27119.1552,27329.0752
like,27339.3152,27431.4752
i,27410.9952,27457.0752
said,27477.5552,27631.1552
mean,27646.5152,27723.3152
all,27743.7952,27820.5952
over,27841.0752,27917.8752
the,27907.6352,27943.4752
world,27943.4752,28127.7952
and,28440.1152,28516.9152
uh,28527.1552,28593.7152
you,28603.9552,28650.0352
know,28639.7952,28701.2352
i,28711.4752,28742.1952
know,28752.4352,28824.1152
a,28803.6352,28859.9552
little,28839.4752,28941.8752
bit,28952.1152,28993.0752
about,29023.7952,29162.0352
monkey,29172.2752,29356.5952
monkey,29387.3152,29510.1952
etiquette,29530.6752,29832.7552
and,29832.7552,29970.9952
showing,29991.4752,30124.5952
your,30145.0752,30201.3952
teeth,30339.6352,30529.0752
not,30529.0752,30600.7552
to,30600.7552,30651.9552
show,30662.1952,30769.7152
your,30769.7152,30815.7952
teeth,30815.7952,30954.0352
not,30954.0352,31030.8352
to,31030.8352,31076.9152
stare,31076.9152,31210.0352
them,31220.2752,31271.4752
in,31271.4752,31317.5552
the,31317.5552,31348.2752
face,31358.5152,31624.7552
yeah,31870.5152,32013.8752
i,32003.6352,32039.4752
this,32131.6352,32208.4352
is,32228.9152,32280.1152
this,32290.3552,32382.5152
is,32382.5152,32423.4752
one,32443.9552,32505.3952
of,32515.6352,32561.7152
the,32551.4752,32582.1952
secrets,32582.1952,32853.5552
actually,32874.0352,33032.7552
of,33042.995200000005,33083.9552
being,33094.1952,33176.1152
able,33176.1152,33258.0352
to,33278.5152,33329.7152
get,33360.4352,33457.7152
get,33508.9152,33601.0752
get,33652.275200000004,33713.7152
good,33754.6752,33826.355200000005
photography,33857.0752,34220.595199999996
is,34220.595199999996,34297.3952
making,34297.3952,34456.1152
the,34456.1152,34491.9552
animal,34502.1952,34625.0752
relaxed,34655.7952,34901.5552
there,35266.6112,35322.9312
was,35333.1712,35389.491200000004
one,35420.211200000005,35553.3312
shot,35563.5712,35758.1312
david,35758.1312,35927.0912
really,35968.0512,36116.5312
wanted,36126.7712,36270.1312
to,36270.1312,36331.5712
get,36341.8112,36485.1712
a,36884.5312,36920.3712
full,36971.5712,37068.8512
face,37089.3312,37217.3312
portrait,37237.8112,37504.0512
with,37585.9712,37652.5312
a,37652.5312,37678.1312
wide,37698.6112,37826.6112
angle,37836.8512,37990.4512
lens,38010.9312,38272.0512
but,38563.8912,38615.0912
every,38635.5712,38722.6112
time,38743.0912,38855.7312
he,38855.7312,38896.6912
got,38896.6912,38978.6112
close,38978.6112,39096.3712
to,39106.6112,39132.2112
taking,39173.1712,39316.5312
the,39337.0112,39362.6112
shot,39383.0912,39613.4912
the,39669.8112,39726.1312
monkeys,39736.3712,39905.3312
would,39925.8112,39977.0112
look,39987.2512,40064.0512
away,40074.2912,40258.6112
so,40734.7712,40791.0912
after,40801.3312,40898.6112
two,40960.0512,41031.7312
days,41062.4512,41195.5712
of,41216.0512,41262.1312
these,41262.1312,41364.5312
near,41364.5312,41466.9312
misses,41466.9312,41769.0112
he,41825.3312,41876.5312
changed,41876.5312,42040.3712
strategies,42040.3712,42403.8912
he,42736.6912,42798.1312
put,42798.1312,42854.4512
his,42864.6912,42915.8912
camera,42926.1312,43069.4912
on,43069.4912,43115.5712
a,43115.5712,43146.2912
tripod,43146.2912,43468.8512
and,43489.3312,43550.7712
threw,43561.0112,43612.2112
down,43612.2112,43699.2512
some,43719.7312,43796.5312
cookies,43806.7712,44113.9712
to,44113.9712,44175.4112
try,44185.6512,44277.8112
to,44277.8112,44313.6512
entice,44313.6512,44503.0912
the,44503.0912,44533.8112
monkeys,44544.0512,44707.8912
over,44748.8512,44922.9312
he,45322.2912,45373.4912
was,45383.7312,45440.0512
hoping,45440.0512,45578.2912
they'd,45578.2912,45649.9712
get,45639.7312,45726.7712
curious,45737.0112,45977.6512
about,46018.6112,46131.2512
the,46131.2512,46167.0912
camera,46167.0912,46433.3312
and,46510.1312,46576.6912
start,46617.6512,46720.0512
pushing,46730.2912,46863.4112
the,46873.6512,46914.6112
button,46924.8512,47052.8512
themselves,47052.8512,47436.8512
they,47907.8912,47969.3312
were,48000.0512,48122.9312
curious,48153.6512,48481.3312
they,48860.2112,48896.0512
were,48926.7712,48967.7312
not,48988.2112,49116.2112
pushing,49126.4512,49274.9312
the,49285.1712,49331.2512
button,49341.4912,49510.4512
so,50462.7712,50513.9712
david,50524.2112,50657.3312
attached,50677.8112,50836.5312
a,50857.0112,50877.4912
cable,50877.4912,51092.5312
with,51102.7712,51143.7312
a,51164.2112,51179.5712
button,51179.5712,51302.4512
on,51302.4512,51363.8912
the,51363.8912,51404.8512
end,51435.5712,51502.1312
of,51512.3712,51553.3312
it,51573.8112,51676.2112
to,51686.4512,51742.7712
the,51742.7712,51783.7312
camera,51783.7312,51998.7712
the,52439.0912,52495.4112
monkeys,52505.6512,52628.5312
liked,52649.0112,52782.1312
that,52771.8912,52884.5312
they,53294.1312,53335.0912
started,53355.5712,53488.6912
playing,53519.4112,53647.4112
with,53637.1712,53719.0912
it,53729.3312,53841.9712
putting,53841.9712,53954.6112
it,53954.6112,53995.5712
in,53995.5712,54026.2912
their,54026.2912,54092.8512
mouths,54092.8512,54364.2112
fighting,54415.4112,54569.0112
over,54579.2512,54681.6512
it,54691.8912,54768.6912
and,55030.7328,55092.1728
of,55102.4128,55148.4928
course,55168.9728,55276.4928
when,55286.7328,55450.5728
when,55752.6528,55834.5728
it,55834.5728,55885.7728
when,55896.0128,55957.4528
it,55967.6928,56003.5328
got,56003.5328,56100.8128
pressed,56126.4128,56392.6528
they,56771.5328,56976.3328
automatically,56976.3328,57503.6928
looked,57549.7728,57703.3728
into,57734.0928,57826.2528
the,57836.4928,57872.3328
lens,57862.0928,58118.0928
and,58435.5328,58481.6128
the,58496.9728,58527.6928
fact,58548.1728,58624.9728
that,58645.4528,58671.0528
it's,58691.5328,58737.6128
going,58758.0928,58850.2528
ch,58865.6128,58942.4128
ch,58942.4128,59024.3328
ch,59024.3328,59121.6128
ch,59121.6128,59218.8928
ch,59218.8928,59377.6128
it's,59454.4128,59536.3328
monkey,59546.5728,59659.2128
language,59679.6928,59976.6528
they,60276.48,60322.56
fired,60332.8,60445.44
off,60476.16,60542.72
a,60552.96,60573.44
few,60573.44,60680.96
shots,60701.44,60936.96
david,61192.96,61320.96
reviewed,61351.68,61520.64
them,61520.64,61638.4
they,61909.76,61971.2
weren't,61991.68,62099.2
bad,62099.2,62273.28
a,62560.0,62616.32
little,62636.8,62728.96
out,62749.44,62780.16
of,62800.64,62831.36
focus,62831.36,63097.6
so,63496.96,63543.04
he,63563.52,63594.24
adjusted,63594.24,63778.56
the,63778.56,63809.28
settings,63819.52,64060.16
and,64070.4,64126.72
put,64136.96,64203.52
the,64203.52,64234.24
camera,64234.24,64392.96
back,64392.96,64572.16
the,65104.64,65125.12
monkeys,65145.6,65273.6
were,65294.08,65340.16
into,65370.88,65468.16
the,65478.4,65534.72
whole,65544.95999999999,65616.64
project,65616.64,65806.08
by,65847.04000000001,65918.72
now,65928.95999999999,66056.95999999999
